Movie_ID, Movie_Title, Movie_Date, Movie_Time, Seat_Number, Seat_Status, User_ID, Reservation_Expiry
" ""The Matrix"""," ""2023-08-17"""," ""19:00""", B1, Reserved, User906, 2023-08-17 19:04:00,
" ""Toy Story 4"""," ""2023-08-20"""," ""14:30""", A1, Available,,,
" ""The Lion King"""," ""2023-08-19"""," ""15:00""", D3, Available,,,
" ""The Lion King"""," ""2023-08-19"""," ""15:00""", A2, Reserved, User917, 2023-08-19 15:02:00,
" ""Interstellar"""," ""2023-08-18"""," ""17:30""", B3, Available,,,
" ""Coco"""," ""2023-08-22"""," ""16:30""", A3, Available,,,
" ""Coco"""," ""2023-08-22"""," ""16:30""", A1, Available,,,
" ""Interstellar"""," ""2023-08-18"""," ""17:30""", C2, Reserved, User914, 2023-08-18 17:36:00,
" ""Avengers: Endgame"""," ""2023-08-15"""," ""18:00""", D1, Booked, User567,,
" ""Avengers: Endgame"""," ""2023-08-15"""," ""18:00""", A1, Available,,,
" ""Inception"""," ""2023-08-16"""," ""20:30""", B2, Booked, User901,,
" ""The Matrix"""," ""2023-08-17"""," ""19:00""", B2, Booked, User907,,
" ""Finding Nemo"""," ""2023-08-21"""," ""13:00""", D1, Available,,,
" ""Coco"""," ""2023-08-22"""," ""16:30""", B1, Reserved, User935, 2023-08-22 16:34:00,
" ""Toy Story 4"""," ""2023-08-20"""," ""14:30""", D3, Reserved, User927, 2023-08-20 14:38:00,
" ""Avengers: Endgame"""," ""2023-08-15"""," ""18:00""", B1, Reserved, User345, 2023-08-15 18:04:00,
" ""Finding Nemo"""," ""2023-08-21"""," ""13:00""", A3, Available,,,
" ""The Matrix"""," ""2023-08-17"""," ""19:00""", C1, Reserved, User909, 2023-08-17 19:08:00,
" ""Avengers: Endgame"""," ""2023-08-15"""," ""18:00""", D3, Available,,,
" ""The Matrix"""," ""2023-08-17"""," ""19:00""", A1, Reserved, User905, 2023-08-17 19:02:00,
" ""Coco"""," ""2023-08-22"""," ""16:30""", C1, Reserved, User938, 2023-08-22 16:38:00,
" ""The Lion King"""," ""2023-08-19"""," ""15:00""", A4, Available,,,
" ""Inception"""," ""2023-08-16"""," ""20:30""", C3, Reserved, User903, 2023-08-16 20:38:00,
" ""Toy Story 4"""," ""2023-08-20"""," ""14:30""", D2, Available,,,
" ""Interstellar"""," ""2023-08-18"""," ""17:30""", B2, Available,,,
" ""Toy Story 4"""," ""2023-08-20"""," ""14:30""", C1, Reserved, User925, 2023-08-20 14:34:00,
" ""Inception"""," ""2023-08-16"""," ""20:30""", A3, Available,,,
" ""Interstellar"""," ""2023-08-18"""," ""17:30""", A4, Available,,,
" ""Interstellar"""," ""2023-08-18"""," ""17:30""", A2, Reserved, User911, 2023-08-18 17:32:00,
" ""Avengers: Endgame"""," ""2023-08-15"""," ""18:00""", C3, Available,,,
" ""Finding Nemo"""," ""2023-08-21"""," ""13:00""", C1, Reserved, User932, 2023-08-21 13:08:00,
" ""Avengers: Endgame"""," ""2023-08-15"""," ""18:00""", D2, Reserved, User678, 2023-08-15 18:08:00,
" ""Coco"""," ""2023-08-22"""," ""16:30""", D3, Available,,,
" ""Finding Nemo"""," ""2023-08-21"""," ""13:00""", A1, Reserved, User928, 2023-08-21 13:02:00,
" ""The Matrix"""," ""2023-08-17"""," ""19:00""", A3, Available,,,
" ""Finding Nemo"""," ""2023-08-21"""," ""13:00""", A2, Available,,,
" ""Avengers: Endgame"""," ""2023-08-15"""," ""18:00""", B2, Available,,,
" ""The Lion King"""," ""2023-08-19"""," ""15:00""", D1, Available,,,
" ""The Lion King"""," ""2023-08-19"""," ""15:00""", B1, Reserved, User918, 2023-08-19 15:04:00,
" ""Interstellar"""," ""2023-08-18"""," ""17:30""", A1, Available,,,
" ""The Matrix"""," ""2023-08-17"""," ""19:00""", C3, Reserved, User910, 2023-08-17 19:10:00,
" ""Inception"""," ""2023-08-16"""," ""20:30""", A4, Available,,,
" ""Toy Story 4"""," ""2023-08-20"""," ""14:30""", A2, Reserved, User923, 2023-08-20 14:32:00,
" ""The Matrix"""," ""2023-08-17"""," ""19:00""", C2, Available,,,
" ""Avengers: Endgame"""," ""2023-08-15"""," ""18:00""", C1, Available,,,
" ""Interstellar"""," ""2023-08-18"""," ""17:30""", B1, Reserved, User913, 2023-08-18 17:34:00,
" ""Toy Story 4"""," ""2023-08-20"""," ""14:30""", A4, Available,,,
" ""Toy Story 4"""," ""2023-08-20"""," ""14:30""", B1, Available,,,
" ""The Matrix"""," ""2023-08-17"""," ""19:00""", A2, Available,,,
" ""Inception"""," ""2023-08-16"""," ""20:30""", B3, Available,,,
" ""Finding Nemo"""," ""2023-08-21"""," ""13:00""", B3, Reserved, User931, 2023-08-21 13:06:00,
" ""Inception"""," ""2023-08-16"""," ""20:30""", D3, Reserved, User904, 2023-08-16 20:40:00,
" ""Toy Story 4"""," ""2023-08-20"""," ""14:30""", C2, Available,,,
" ""Interstellar"""," ""2023-08-18"""," ""17:30""", D1, Booked, User915,,
" ""Inception"""," ""2023-08-16"""," ""20:30""", A1, Reserved, User789, 2023-08-16 20:32:00,
" ""Inception"""," ""2023-08-16"""," ""20:30""", D2, Available,,,
" ""Avengers: Endgame"""," ""2023-08-15"""," ""18:00""", A4, Available,,,
" ""Inception"""," ""2023-08-16"""," ""20:30""", B1, Available,,,
" ""The Matrix"""," ""2023-08-17"""," ""19:00""", D3, Available,,,
" ""Avengers: Endgame"""," ""2023-08-15"""," ""18:00""", C2, Reserved, User456, 2023-08-15 18:06:00,
" ""Finding Nemo"""," ""2023-08-21"""," ""13:00""", A4, Available,,,
" ""Avengers: Endgame"""," ""2023-08-15"""," ""18:00""", B3, Available,,,
" ""Toy Story 4"""," ""2023-08-20"""," ""14:30""", A3, Available,,,
" ""The Matrix"""," ""2023-08-17"""," ""19:00""", D1, Available,,,
" ""Finding Nemo"""," ""2023-08-21"""," ""13:00""", D3, Available,,,
" ""Finding Nemo"""," ""2023-08-21"""," ""13:00""", B2, Booked, User930,,
" ""The Lion King"""," ""2023-08-19"""," ""15:00""", A3, Available,,,
" ""Interstellar"""," ""2023-08-18"""," ""17:30""", D2, Reserved, User916, 2023-08-18 17:38:00,
" ""Toy Story 4"""," ""2023-08-20"""," ""14:30""", B2, Booked, User924,,
" ""Interstellar"""," ""2023-08-18"""," ""17:30""", C1, Available,,,
" ""Coco"""," ""2023-08-22"""," ""16:30""", C2, Available,,,
" ""The Lion King"""," ""2023-08-19"""," ""15:00""", C3, Reserved, User922, 2023-08-19 15:10:00,
" ""Coco"""," ""2023-08-22"""," ""16:30""", C3, Reserved, User939, 2023-08-22 16:40:00,
" ""Coco"""," ""2023-08-22"""," ""16:30""", B2, Booked, User936,,
" ""Interstellar"""," ""2023-08-18"""," ""17:30""", A3, Booked, User912,,
